userID,type,username,password,name,address,balance,isDeleted,department,rollNo,designation,position,membershipLevel
1,premium,bilal1,bilal1@123,Bilal Rehman,House 967 - Faisalabad,1314.05,0,,,,,Diamond
2,student,rizwan2,rizwan2@123,Rizwan Hussain,House 729 - Faisalabad,115.21,0,Business Administration,1002,,,
3,student,hassan3,hassan3@123,Hassan Ansari,House 619 - Islamabad,160.45,0,Computer Science,1003,,,
4,student,tariq4,tariq4@123,Tariq Butt,House 610 - Rawalpindi,195.37,0,Electrical Engineering,1004,,,
5,student,imran5,imran5@123,Imran Siddiqui,House 840 - Quetta,115.47,0,Physics,1005,,,
6,student,hussain6,hussain6@123,Hussain Khan,House 767 - Rawalpindi,170.52,0,Software Engineering,1006,,,
7,student,danish7,danish7@123,Danish Rehman,House 986 - Rawalpindi,65.16,0,Mathematics,1007,,,
8,student,saad8,saad8@123,Saad Butt,House 195 - Islamabad,118.96,0,Software Engineering,1008,,,
9,student,shahzaib9,shahzaib9@123,Shahzaib Farooq,House 48 - Peshawar,173.72,0,Mathematics,1009,,,
10,student,hussain10,hussain10@123,Hussain Iqbal,House 114 - Quetta,10.23,0,Software Engineering,1010,,,
11,student,noman11,noman11@123,Noman Siddiqui,House 685 - Islamabad,4.3,0,Computer Science,1011,,,
12,student,hassan12,hassan12@123,Hassan Farooq,House 65 - Islamabad,193.78,0,Business Administration,1012,,,
13,student,shahzaib13,shahzaib13@123,Shahzaib Ahmed,House 823 - Peshawar,4.61,0,Electrical Engineering,1013,,,
14,student,shahzaib14,shahzaib14@123,Shahzaib Baig,House 938 - Peshawar,142.81,0,Mechanical Engineering,1014,,,
15,student,farhan15,farhan15@123,Farhan Shah,House 847 - Quetta,64.43,0,Electrical Engineering,1015,,,
16,student,kamran16,kamran16@123,Kamran Farooq,House 342 - Karachi,75.89,0,Business Administration,1016,,,
17,student,noman17,noman17@123,Noman Rehman,House 231 - Quetta,111.51,0,Software Engineering,1017,,,
18,student,hamza18,hamza18@123,Hamza Ansari,House 76 - Peshawar,135.24,0,Electrical Engineering,1018,,,
19,student,kamran19,kamran19@123,Kamran Khan,House 625 - Hyderabad,11.77,0,Mechanical Engineering,1019,,,
20,student,saad20,saad20@123,Saad Sheikh,House 508 - Faisalabad,18.75,0,Mechanical Engineering,1020,,,
21,student,adnan21,adnan21@123,Adnan Hussain,House 801 - Lahore,37.93,0,Mechanical Engineering,1021,,,
22,student,salman22,salman22@123,Salman Sheikh,House 644 - Multan,112.86,0,Computer Science,1022,,,
23,student,kamran23,kamran23@123,Kamran Hussain,House 358 - Lahore,160.28,0,Mechanical Engineering,1023,,,
24,student,shahzaib24,shahzaib24@123,Shahzaib Iqbal,House 341 - Rawalpindi,44.81,0,Electrical Engineering,1024,,,
25,student,ahsan25,ahsan25@123,Ahsan Iqbal,House 822 - Islamabad,190.31,0,Computer Science,1025,,,
26,student,shahzaib26,shahzaib26@123,Shahzaib Chaudhry,House 853 - Islamabad,19.08,0,Mechanical Engineering,1026,,,
27,student,adnan27,adnan27@123,Adnan Farooq,House 304 - Hyderabad,80.7,0,Software Engineering,1027,,,
28,student,hamza28,hamza28@123,Hamza Farooq,House 17 - Hyderabad,91.03,0,Computer Science,1028,,,
29,student,ahsan29,ahsan29@123,Ahsan Rehman,House 745 - Peshawar,25.77,0,Mechanical Engineering,1029,,,
30,student,farhan30,farhan30@123,Farhan Shah,House 275 - Islamabad,66.51,0,Business Administration,1030,,,
31,student,rizwan31,rizwan31@123,Rizwan Butt,House 127 - Rawalpindi,122.63,0,Computer Science,1031,,,
32,student,ahmed32,ahmed32@123,Ahmed Ahmed,House 983 - Hyderabad,9.17,0,Electrical Engineering,1032,,,
33,student,farhan33,farhan33@123,Farhan Rehman,House 284 - Sialkot,155.07,0,Business Administration,1033,,,
34,student,imran34,imran34@123,Imran Butt,House 752 - Islamabad,26.85,0,Software Engineering,1034,,,
35,student,ahsan35,ahsan35@123,Ahsan Farooq,House 377 - Quetta,166.06,0,Computer Science,1035,,,
36,student,zain36,zain36@123,Zain Chaudhry,House 741 - Peshawar,128.26,0,Mechanical Engineering,1036,,,
37,student,tariq37,tariq37@123,Tariq Hussain,House 911 - Lahore,97.41,0,Mathematics,1037,,,
38,student,ahsan38,ahsan38@123,Ahsan Ahmed,House 132 - Islamabad,2.45,0,Business Administration,1038,,,
39,student,adnan39,adnan39@123,Adnan Hussain,House 184 - Hyderabad,122.5,0,Business Administration,1039,,,
40,student,danish40,danish40@123,Danish Siddiqui,House 207 - Multan,28.84,0,Computer Science,1040,,,
41,student,shahzaib41,shahzaib41@123,Shahzaib Ansari,House 920 - Rawalpindi,17.84,0,Mathematics,1041,,,
42,student,imran42,imran42@123,Imran Ahmed,House 139 - Lahore,191.57,0,Mechanical Engineering,1042,,,
43,student,hamza43,hamza43@123,Hamza Malik,House 330 - Sialkot,132.3,0,Computer Science,1043,,,
44,student,hassan44,hassan44@123,Hassan Khan,House 387 - Sialkot,49.38,0,Mathematics,1044,,,
45,student,saad45,saad45@123,Saad Malik,House 553 - Faisalabad,62.83,0,Electrical Engineering,1045,,,
46,student,danish46,danish46@123,Danish Khan,House 554 - Sialkot,130.55,0,Physics,1046,,,
47,student,danish47,danish47@123,Danish Shah,House 198 - Sialkot,157.46,0,Physics,1047,,,
48,student,hassan48,hassan48@123,Hassan Baig,House 904 - Lahore,191.87,0,Business Administration,1048,,,
49,student,zain49,zain49@123,Zain Baig,House 872 - Rawalpindi,54.73,0,Software Engineering,1049,,,
50,student,usman50,usman50@123,Usman Farooq,House 279 - Islamabad,46.55,0,Computer Science,1050,,,
51,student,danish51,danish51@123,Danish Khan,House 678 - Multan,109.76,0,Software Engineering,1051,,,
52,student,noman52,noman52@123,Noman Shah,House 810 - Karachi,70.76,0,Mechanical Engineering,1052,,,
53,student,rizwan53,rizwan53@123,Rizwan Chaudhry,House 497 - Peshawar,193.25,0,Business Administration,1053,,,
54,student,imran54,imran54@123,Imran Ansari,House 344 - Lahore,29.19,0,Electrical Engineering,1054,,,
55,student,saad55,saad55@123,Saad Baig,House 363 - Rawalpindi,182.81,0,Mathematics,1055,,,
56,student,hassan56,hassan56@123,Hassan Butt,House 905 - Islamabad,182.47,0,Electrical Engineering,1056,,,
57,student,kamran57,kamran57@123,Kamran Malik,House 539 - Islamabad,196.57,0,Business Administration,1057,,,
58,student,hussain58,hussain58@123,Hussain Ansari,House 929 - Lahore,36.73,0,Business Administration,1058,,,
59,student,rizwan59,rizwan59@123,Rizwan Qureshi,House 712 - Rawalpindi,130.33,0,Electrical Engineering,1059,,,
60,student,danish60,danish60@123,Danish Shah,House 608 - Hyderabad,156.86,0,Mechanical Engineering,1060,,,
61,student,tariq61,tariq61@123,Tariq Chaudhry,House 452 - Quetta,22.9,0,Physics,1061,,,
62,student,ahmed62,ahmed62@123,Ahmed Qureshi,House 413 - Sialkot,135.37,0,Software Engineering,1062,,,
63,student,hamza63,hamza63@123,Hamza Baig,House 968 - Faisalabad,134.23,0,Business Administration,1063,,,
64,student,danish64,danish64@123,Danish Ansari,House 210 - Quetta,28.08,0,Software Engineering,1064,,,
65,student,tariq65,tariq65@123,Tariq Ansari,House 285 - Peshawar,95.64,0,Business Administration,1065,,,
66,student,kamran66,kamran66@123,Kamran Sheikh,House 832 - Karachi,62.11,0,Physics,1066,,,
67,student,hassan67,hassan67@123,Hassan Chaudhry,House 1 - Karachi,175.89,0,Computer Science,1067,,,
68,student,hamza68,hamza68@123,Hamza Butt,House 937 - Islamabad,193.55,0,Physics,1068,,,
69,student,tariq69,tariq69@123,Tariq Baig,House 950 - Peshawar,108.84,0,Physics,1069,,,
70,student,saad70,saad70@123,Saad Ahmed,House 944 - Hyderabad,177.06,0,Electrical Engineering,1070,,,
71,student,danish71,danish71@123,Danish Ahmed,House 869 - Islamabad,59.66,0,Mechanical Engineering,1071,,,
72,student,zain72,zain72@123,Zain Chaudhry,House 519 - Multan,161.5,0,Physics,1072,,,
73,student,kamran73,kamran73@123,Kamran Shah,House 192 - Multan,118.36,0,Computer Science,1073,,,
74,student,hussain74,hussain74@123,Hussain Iqbal,House 156 - Peshawar,36.68,0,Computer Science,1074,,,
75,student,usman75,usman75@123,Usman Iqbal,House 484 - Islamabad,123.95,0,Business Administration,1075,,,
76,student,imran76,imran76@123,Imran Chaudhry,House 324 - Rawalpindi,140.15,0,Computer Science,1076,,,
77,student,shahzaib77,shahzaib77@123,Shahzaib Iqbal,House 543 - Hyderabad,142.56,0,Mathematics,1077,,,
78,student,noman78,noman78@123,Noman Baig,House 313 - Islamabad,18,0,Mechanical Engineering,1078,,,
79,student,adnan79,adnan79@123,Adnan Farooq,House 895 - Lahore,117.59,0,Electrical Engineering,1079,,,
80,student,ahsan80,ahsan80@123,Ahsan Chaudhry,House 271 - Faisalabad,30.46,0,Mathematics,1080,,,
81,student,usman81,usman81@123,Usman Ahmed,House 952 - Lahore,78.64,0,Software Engineering,1081,,,
82,student,ahsan82,ahsan82@123,Ahsan Rehman,House 620 - Peshawar,185.28,0,Physics,1082,,,
83,student,usman83,usman83@123,Usman Rehman,House 375 - Rawalpindi,154.05,0,Mechanical Engineering,1083,,,
84,student,tariq84,tariq84@123,Tariq Chaudhry,House 363 - Karachi,115.48,0,Business Administration,1084,,,
85,student,ahmed85,ahmed85@123,Ahmed Shah,House 653 - Peshawar,4.21,0,Electrical Engineering,1085,,,
86,student,kamran86,kamran86@123,Kamran Butt,House 588 - Peshawar,49.36,0,Business Administration,1086,,,
87,student,ahsan87,ahsan87@123,Ahsan Siddiqui,House 682 - Multan,35.1,0,Computer Science,1087,,,
88,student,ali88,ali88@123,Ali Ahmed,House 485 - Islamabad,189,0,Mathematics,1088,,,
89,student,ali89,ali89@123,Ali Farooq,House 978 - Faisalabad,5.6,0,Mathematics,1089,,,
90,student,hussain90,hussain90@123,Hussain Ansari,House 461 - Lahore,76.24,0,Electrical Engineering,1090,,,
91,student,salman91,salman91@123,Salman Siddiqui,House 262 - Karachi,192.66,0,Computer Science,1091,,,
92,student,ahmed92,ahmed92@123,Ahmed Iqbal,House 182 - Peshawar,10.26,0,Electrical Engineering,1092,,,
93,student,hamza93,hamza93@123,Hamza Baig,House 739 - Faisalabad,83.67,0,Mechanical Engineering,1093,,,
94,student,bilal94,bilal94@123,Bilal Shah,House 179 - Islamabad,71.07,0,Business Administration,1094,,,
95,student,kamran95,kamran95@123,Kamran Sheikh,House 887 - Hyderabad,38.16,0,Mathematics,1095,,,
96,student,kamran96,kamran96@123,Kamran Khan,House 630 - Hyderabad,93.22,0,Mechanical Engineering,1096,,,
97,student,ali97,ali97@123,Ali Khan,House 961 - Rawalpindi,98.17,0,Computer Science,1097,,,
98,student,hassan98,hassan98@123,Hassan Ahmed,House 242 - Faisalabad,136.52,0,Mathematics,1098,,,
99,student,usman99,usman99@123,Usman Malik,House 788 - Peshawar,151.87,0,Software Engineering,1099,,,
100,student,kamran100,kamran100@123,Kamran Farooq,House 125 - Hyderabad,150.03,0,Electrical Engineering,1100,,,
101,student,zain101,zain101@123,Zain Ansari,House 671 - Lahore,71.37,0,Computer Science,1101,,,
102,student,saad102,saad102@123,Saad Qureshi,House 746 - Peshawar,35.44,0,Electrical Engineering,1102,,,
103,student,shahzaib103,shahzaib103@123,Shahzaib Farooq,House 109 - Rawalpindi,76.65,0,Mathematics,1103,,,
104,student,imran104,imran104@123,Imran Ansari,House 59 - Rawalpindi,105.22,0,Computer Science,1104,,,
105,student,bilal105,bilal105@123,Bilal Chaudhry,House 715 - Islamabad,30.97,0,Electrical Engineering,1105,,,
106,student,ahsan106,ahsan106@123,Ahsan Butt,House 560 - Islamabad,42.53,0,Electrical Engineering,1106,,,
107,student,hussain107,hussain107@123,Hussain Hussain,House 44 - Sialkot,36.49,0,Electrical Engineering,1107,,,
108,student,tariq108,tariq108@123,Tariq Baig,House 837 - Islamabad,195.02,0,Mechanical Engineering,1108,,,
109,student,saad109,saad109@123,Saad Butt,House 475 - Islamabad,22.31,0,Mathematics,1109,,,
110,student,ahsan110,ahsan110@123,Ahsan Farooq,House 261 - Karachi,195.95,0,Mechanical Engineering,1110,,,
111,student,shahzaib111,shahzaib111@123,Shahzaib Ansari,House 571 - Islamabad,74.18,0,Electrical Engineering,1111,,,
112,student,zain112,zain112@123,Zain Farooq,House 300 - Sialkot,1.74,0,Electrical Engineering,1112,,,
113,student,tariq113,tariq113@123,Tariq Qureshi,House 497 - Islamabad,98.97,0,Software Engineering,1113,,,
114,student,danish114,danish114@123,Danish Baig,House 932 - Karachi,17.95,0,Mathematics,1114,,,
115,student,hussain115,hussain115@123,Hussain Farooq,House 451 - Hyderabad,5.81,0,Software Engineering,1115,,,
116,student,ahmed116,ahmed116@123,Ahmed Ahmed,House 693 - Sialkot,32.56,0,Business Administration,1116,,,
117,student,saad117,saad117@123,Saad Farooq,House 193 - Peshawar,81.48,0,Business Administration,1117,,,
118,student,danish118,danish118@123,Danish Qureshi,House 814 - Islamabad,47.99,0,Computer Science,1118,,,
119,student,bilal119,bilal119@123,Bilal Ansari,House 927 - Rawalpindi,3.91,0,Electrical Engineering,1119,,,
120,student,kamran120,kamran120@123,Kamran Iqbal,House 636 - Multan,116.66,0,Electrical Engineering,1120,,,
121,student,shahzaib121,shahzaib121@123,Shahzaib Siddiqui,House 432 - Islamabad,123.9,0,Mathematics,1121,,,
122,student,danish122,danish122@123,Danish Rehman,House 85 - Peshawar,86.26,0,Business Administration,1122,,,
123,student,rizwan123,rizwan123@123,Rizwan Sheikh,House 821 - Rawalpindi,119.8,0,Software Engineering,1123,,,
124,student,bilal124,bilal124@123,Bilal Hussain,House 567 - Islamabad,51.47,0,Mechanical Engineering,1124,,,
125,student,hassan125,hassan125@123,Hassan Chaudhry,House 740 - Peshawar,188.27,0,Computer Science,1125,,,
126,student,hamza126,hamza126@123,Hamza Hussain,House 423 - Quetta,191.67,0,Physics,1126,,,
127,student,salman127,salman127@123,Salman Ansari,House 868 - Karachi,121.5,0,Electrical Engineering,1127,,,
128,student,tariq128,tariq128@123,Tariq Baig,House 246 - Karachi,186.97,0,Business Administration,1128,,,
129,student,bilal129,bilal129@123,Bilal Malik,House 598 - Sialkot,199.55,0,Mechanical Engineering,1129,,,
130,student,danish130,danish130@123,Danish Farooq,House 459 - Lahore,8.92,0,Computer Science,1130,,,
131,student,zain131,zain131@123,Zain Iqbal,House 63 - Quetta,122.71,0,Business Administration,1131,,,
132,student,hassan132,hassan132@123,Hassan Butt,House 222 - Islamabad,195.85,0,Software Engineering,1132,,,
133,student,noman133,noman133@123,Noman Khan,House 119 - Peshawar,34.42,0,Electrical Engineering,1133,,,
134,student,hamza134,hamza134@123,Hamza Farooq,House 163 - Karachi,87.96,0,Business Administration,1134,,,
135,student,salman135,salman135@123,Salman Butt,House 662 - Lahore,100.22,0,Business Administration,1135,,,
136,student,zain136,zain136@123,Zain Ahmed,House 904 - Hyderabad,143.04,0,Computer Science,1136,,,
137,student,kamran137,kamran137@123,Kamran Malik,House 526 - Karachi,98.68,0,Electrical Engineering,1137,,,
138,student,ahsan138,ahsan138@123,Ahsan Hussain,House 132 - Karachi,39.9,0,Mathematics,1138,,,
139,student,danish139,danish139@123,Danish Chaudhry,House 809 - Karachi,76.96,0,Physics,1139,,,
140,student,danish140,danish140@123,Danish Chaudhry,House 772 - Lahore,162.27,0,Mechanical Engineering,1140,,,
141,student,saad141,saad141@123,Saad Farooq,House 644 - Karachi,0.74,0,Computer Science,1141,,,
142,student,farhan142,farhan142@123,Farhan Farooq,House 89 - Quetta,86.51,0,Mechanical Engineering,1142,,,
143,student,shahzaib143,shahzaib143@123,Shahzaib Shah,House 232 - Rawalpindi,143.83,0,Business Administration,1143,,,
144,student,shahzaib144,shahzaib144@123,Shahzaib Siddiqui,House 892 - Peshawar,135.11,0,Mechanical Engineering,1144,,,
145,student,noman145,noman145@123,Noman Rehman,House 359 - Sialkot,103.04,0,Physics,1145,,,
146,student,hussain146,hussain146@123,Hussain Khan,House 454 - Islamabad,55.26,0,Business Administration,1146,,,
147,student,adnan147,adnan147@123,Adnan Khan,House 126 - Karachi,94.98,0,Physics,1147,,,
148,student,ahmed148,ahmed148@123,Ahmed Iqbal,House 312 - Multan,50.93,0,Mathematics,1148,,,
149,student,ahmed149,ahmed149@123,Ahmed Farooq,House 509 - Faisalabad,39.89,0,Business Administration,1149,,,
150,student,tariq150,tariq150@123,Tariq Hussain,House 204 - Islamabad,162.86,0,Physics,1150,,,
151,student,noman151,noman151@123,Noman Hussain,House 643 - Lahore,181.77,0,Mathematics,1151,,,
152,student,shahzaib152,shahzaib152@123,Shahzaib Shah,House 599 - Lahore,158.47,0,Electrical Engineering,1152,,,
153,student,hassan153,hassan153@123,Hassan Khan,House 90 - Faisalabad,105.36,0,Software Engineering,1153,,,
154,student,ali154,ali154@123,Ali Malik,House 869 - Lahore,22.53,0,Physics,1154,,,
155,student,noman155,noman155@123,Noman Ansari,House 949 - Peshawar,54.7,0,Mathematics,1155,,,
156,student,saad156,saad156@123,Saad Khan,House 822 - Lahore,126.01,0,Physics,1156,,,
157,student,ahsan157,ahsan157@123,Ahsan Farooq,House 837 - Sialkot,9.83,0,Mechanical Engineering,1157,,,
158,student,saad158,saad158@123,Saad Sheikh,House 270 - Peshawar,186.88,0,Software Engineering,1158,,,
159,student,shahzaib159,shahzaib159@123,Shahzaib Khan,House 55 - Faisalabad,167.6,0,Software Engineering,1159,,,
